Worcester,"['Worcester Polytechnic Institute', 'College of the Holy Cross', 'Quinsigamond Community College', 'Worcester State University', 'Clark University', 'University of Massachusetts Medical School Worcester', 'Assumption College', 'Becker College']"
Lexington,"['University of Kentucky', 'Washington and Lee University', 'Virginia Military Institute', 'Transylvania University', 'Lexington Theological Seminary']"
Presque Isle,['University of Maine at Presque Isle']
New Wilmington,['Westminster College-New Wilmington']
Minneapolis,"['Augsburg College', 'Walden University', 'Minneapolis College of Art and Design', 'Dunwoody College of Technology']"
Roanoke,"['Virginia Western Community College', 'Hollins University']"
Harrisonburg,"['James Madison University', 'Eastern Mennonite University']"
Edmond,"['University of Central Oklahoma', 'Oklahoma Christian University']"
Pullman,['Washington State University']
Miami,"['Barry University', 'Florida International University', 'Miami Dade College']"
Bainbridge,['Bainbridge State College']
Sylmar,['Los Angeles Mission College']
San Francisco,"['San Francisco State University', 'University of San Francisco', 'City College of San Francisco', 'Academy of Art University', 'University of California-Hastings College of Law', 'California Institute of Integral Studies', 'Golden Gate University-San Francisco', 'University of California-San Francisco', 'San Francisco Art Institute']"
Rocklin,"['Sierra College', 'William Jessup University']"
Valdosta,['Valdosta State University']
Rancho Cucamonga,['Chaffey College']
Killeen,['Central Texas College']
Tempe,['Rio Salado College']
Ellensburg,['Central Washington University']
Fargo,['North Dakota State University-Main Campus']
Rapid City,['South Dakota School of Mines and Technology']
Carbondale,['Southern Illinois University-Carbondale']
Texarkana,"['Texarkana College', 'Texas A & M University-Texarkana']"
Burlington,"['University of Vermont', 'Champlain College']"
Chattanooga,"['The University of Tennessee-Chattanooga', 'Chattanooga State Community College']"
Saint Leo,['Saint Leo University']
Murray,['Murray State University']
Pemberton,['Rowan College at Burlington County']
Meridian,['Meridian Community College']
Winston Salem,['Wake Forest University']
Mansfield,"['North Central State College', 'Mansfield University of Pennsylvania', 'Ohio State University-Mansfield Campus']"
Oshkosh,['University of Wisconsin-Oshkosh']
Grinnell,['Grinnell College']
New Paltz,['State University of New York at New Paltz']
Arcata,['Humboldt State University']
Little Rock,"['University of Arkansas at Little Rock', 'University of Arkansas for Medical Sciences']"
Salt Lake City,"['University of Utah', 'Salt Lake Community College', 'Westminster College-Salt Lake City', 'Western Governors University', 'Neumont University']"
Pasadena,"['California Institute of Technology', 'Pasadena City College', 'San Jacinto Community College', 'Art Center College of Design', 'Pacific Oaks College']"
Shippensburg,['Shippensburg University of Pennsylvania']
Kutztown,['Kutztown University of Pennsylvania']
Amherst,"['University of Massachusetts-Amherst', 'Hampshire College', 'Amherst College']"
Winsted,['Northwestern Connecticut Community College']
Gardner,['Mount Wachusett Community College']
Stanford,['Stanford University']
Edinboro,['Edinboro University of Pennsylvania']
Bossier City,['Bossier Parish Community College']
Beeville,['Coastal Bend College']
West Barnstable,['Cape Cod Community College']
Lake Jackson,['Brazosport College']
Greenville,"['East Carolina University', 'Furman University', 'Bob Jones University', 'Greenville Technical College', 'Thiel College', 'Greenville College']"
Gilroy,['Gavilan College']
Grants Pass,['Rogue Community College']
Brooklyn Park,"['North Hennepin Community College', 'Hennepin Technical College']"
Allentown,"['Cedar Crest College', 'Muhlenberg College']"
Hempstead,['Hofstra University']
Toledo,"['University of Toledo', 'Mercy College of Ohio']"
Westerville,['Otterbein University']
Davidson,['Davidson College']
Santa Clarita,['College of the Canyons']
Monmouth,"['Monmouth College', 'Western Oregon University']"
Nashville,"['Nashville State Community College', 'Tennessee State University', 'Vanderbilt University', 'Lipscomb University', 'Belmont University', 'Trevecca Nazarene University']"
Torrance,['El Camino Community College District']
Mississippi State,['Mississippi State University']
Port Arthur,['Lamar State College-Port Arthur']
Dekalb,['Northern Illinois University']
Moberly,['Moberly Area Community College']
Winona,"['Minnesota State College-Southeast Technical', 'Winona State University', ""Saint Mary's University of Minnesota""]"
Omaha,"['Creighton University', 'University of Nebraska at Omaha', 'University of Nebraska Medical Center', 'Metropolitan Community College Area', 'Grace University', 'College of Saint Mary']"
Dover,"['Wesley College', 'Delaware State University']"
Reno,"['University of Nevada-Reno', 'Truckee Meadows Community College']"
Raleigh,"['North Carolina State University at Raleigh', 'Wake Technical Community College', 'Shaw University', 'Meredith College']"
Santa Cruz,['University of California-Santa Cruz']
Birmingham,"['University of Alabama at Birmingham', 'Jefferson State Community College', 'Birmingham Southern College', 'Samford University']"
Dallas,"['Southern Methodist University', 'Bakke Graduate University', 'Dallas Baptist University', 'Misericordia University', 'Gaston College']"
Norman,['University of Oklahoma-Norman Campus']
Emporia,['Emporia State University']
Bellingham,"['Western Washington University', 'Northwest Indian College', 'Bellingham Technical College', 'Whatcom Community College']"
Walla Walla,"['Whitman College', 'Walla Walla Community College']"
Fort Worth,"['Texas Christian University', 'Texas Wesleyan University', 'University of North Texas Health Science Center', 'Tarrant County College District']"
Cortland,['SUNY College at Cortland']
Kearney,['University of Nebraska at Kearney']
Paramus,['Bergen Community College']
Greenwood,"['Lander University', 'Piedmont Technical College']"
Lynchburg,"['Liberty University', 'Randolph College', 'Central Virginia Community College', 'Lynchburg College']"
Boone,['Appalachian State University']
Farmington,"['San Juan College', 'Tunxis Community College', 'University of Maine at Farmington']"
Canton,"['SUNY College of Technology at Canton', 'St Lawrence University', 'Malone University', 'Culver-Stockton College', 'Kent State University at Stark']"
Snyder,['Western Texas College']
Mattoon,['Lake Land College']
Waukesha,['Carroll University']
Boca Raton,"['Florida Atlantic University', 'Lynn University']"
Orono,['University of Maine']
Indianapolis,"['Indiana University-Purdue University-Indianapolis', 'Butler University', 'Marian University-Indianapolis', 'University of Indianapolis']"
Alva,['Northwestern Oklahoma State University']
Carlisle,['Dickinson College']
Monroe,"['Monroe County Community College', 'University of Louisiana at Monroe']"
Hays,['Fort Hays State University']
Terre Haute,"['Rose-Hulman Institute of Technology', 'Indiana State University']"
Clinton,"['Hamilton College', 'Mississippi College', 'Presbyterian College']"
Buffalo,"['University at Buffalo', 'SUNY Buffalo State', 'Canisius College', 'Erie Community College', 'Medaille College', ""D'Youville College"", 'Trocaire College']"
Indiana,['Indiana University of Pennsylvania-Main Campus']
Long Beach,"['California State University-Long Beach', 'Long Beach City College']"
Las Cruces,['New Mexico State University-Main Campus']
South Lake Tahoe,['Lake Tahoe Community College']
Hagerstown,['Hagerstown Community College']
Lamoni,['Graceland University-Lamoni']
Pueblo,"['Colorado State University-Pueblo', 'Pueblo Community College']"
New London,"['Colby-Sawyer College', 'Connecticut College', 'United States Coast Guard Academy']"
Ogden,['Weber State University']
Claremore,['Rogers State University']
Olympia,"['The Evergreen State College', 'South Puget Sound Community College']"
Fort Collins,['Colorado State University-Fort Collins']
Carson City,['Western Nevada College']
Vestal,['SUNY at Binghamton']
San Luis Obispo,"['California Polytechnic State University-San Luis Obispo', 'Cuesta College']"
Saint Paul,"['Metropolitan State University', 'Macalester College', 'University of St Thomas-Saint Paul', 'Hamline University', 'Luther Seminary', 'St Catherine University', 'Concordia University-Saint Paul', 'Saint Paul College', 'University of Northwestern-St Paul']"
Kalamazoo,"['Western Michigan University', 'Kalamazoo College', 'Kalamazoo Valley Community College']"
Vincennes,['Vincennes University']
Aiken,['University of South Carolina-Aiken']
Orange Beach,['Columbia Southern University']
West Lafayette,['Purdue University-Main Campus']
Flagstaff,['Northern Arizona University']
Fulton,"['Itawamba Community College', 'Westminster College-Fulton', 'William Woods University']"
Clearwater,['St Petersburg College']
Fredonia,['SUNY at Fredonia']
Fort Smith,['University of Arkansas-Fort Smith']
Oglesby,['Illinois Valley Community College']
Forest Grove,['Pacific University']
Monticello,['University of Arkansas at Monticello']
Napa,['Napa Valley College']
Eugene,"['University of Oregon', 'Lane Community College']"
Garden City,['Adelphi University']
Raymond,['Hinds Community College']
Hillsboro,"['Jefferson College', 'Hill College', 'Southern State Community College']"
Kentfield,['College of Marin']
Plattsburgh,"['SUNY College at Plattsburgh', 'Clinton Community College']"
Chico,['California State University-Chico']
Tahlequah,['Northeastern State University']
Branchburg,['Raritan Valley Community College']
Waterville,['Colby College']
Whiting,['Calumet College of Saint Joseph']
Mount Vernon,"['Cornell College', 'Skagit Valley College', 'Mount Vernon Nazarene University', 'Brewton-Parker College']"
Staten Island,"['College of Staten Island CUNY', 'Wagner College']"
Harriman,['Roane State Community College']
Everett,['Everett Community College']
Sarasota,"['New College of Florida', 'University of South Florida-Sarasota-Manatee', 'Ringling College of Art and Design']"
Lowell,['University of Massachusetts-Lowell']
Palos Hills,['Moraine Valley Community College']
Chanute,['Neosho County Community College']
Hartford,"['Trinity College', 'Hartford Seminary', 'Capital Community College']"
Savannah,"['Savannah College of Art and Design', 'Armstrong State University', 'Savannah Technical College', 'Savannah State University']"
Lawrenceville,"['Georgia Gwinnett College', 'Rider University', 'Gwinnett Technical College']"
San Pablo,['Contra Costa College']
Monterey,"['Naval Postgraduate School', 'Monterey Institute of International Studies', 'Monterey Peninsula College']"
College Place,['Walla Walla University']
La Mirada,['Biola University']
Oceanside,['MiraCosta College']
New Haven,"['Yale University', 'Southern Connecticut State University', 'Albertus Magnus College', 'Gateway Community College-New Haven']"
Mobile,"['University of South Alabama', 'Spring Hill College', 'Bishop State Community College']"
Phoenix,"['South Mountain Community College', 'Phoenix College', 'Paradise Valley Community College', 'Grand Canyon University', 'GateWay Community College-Phoenix']"
Cypress,"['Cypress College', 'Trident University International']"
Thibodaux,['Nicholls State University']
Easton,"['Stonehill College', 'Lafayette College']"
Richfield,['Adler Graduate School']
Colorado Springs,"['Pikes Peak Community College', 'University of Colorado Colorado Springs', 'Colorado College']"
